Observation Date,Temperature,Salinity,Dissolved Oxygen,Phosphate Phosphorus,Nitrous Acid Nitrogen,Nitric Acid Nitrogen,Silicic Acid Silicon,On/Off
10,19.61,31.406999999999996,4.91,0.26,1.03,4.41,8.98,1
10,20.04,31.82,5.22,0.02,0.73,1.25,4.53,1
10,20.25,31.47300000000001,5.51,1.53,0.69,5.18,4.05,1
10,20.86,31.616999999999997,5.16,0.19,0.89,0.76,3.54,1
10,20.78,31.61,5.36,0.18,0.61,0.88,3.71,1
10,20.61,31.825,5.29,0.28,0.84,0.76,4.36,1
10,22.12,32.778,5.26,0.29,0.89,1.12,7.59,1
10,21.14,32.395,5.34,0.31,2.0,1.24,8.89,1
10,20.25,32.15,5.42,0.28,0.77,0.22,10.62,1
10,20.03,32.32,5.33,0.27,0.52,0.04,9.67,1
10,19.42,32.123000000000005,5.59,0.32,1.07,1.17,7.62,1
10,20.56,32.33,5.32,0.28,0.54,0.16,11.23,1
10,20.48,32.65,5.42,0.49,0.68,0.74,7.34,1
10,19.71,32.22,5.47,0.48,0.65,0.77,7.76,1
06,16.11,34.18,5.85,0.37,0.08,12.12,6.26,1
06,17.73,34.24,5.74,0.33,0.08,11.05,4.68,1
06,16.22,31.67,5.8,0.08,0.13,0.35,0.37,1
06,18.95,32.16,5.55,0.09,0.01,0.2,0.82,1
06,18.79,34.2,5.57,0.32,0.16,13.69,5.07,1
06,20.43,32.38,5.39,0.08,0.42,1.48,0.57,1
06,15.31,34.21,5.94,0.39,0.15,6.55,9.11,1
06,20.44,32.42,5.34,0.05,0.23,0.54,0.68,1
08,27.68,31.75,4.53,0.17,0.25,1.06,0.93,1
08,27.42,31.639,4.61,0.28,0.11,0.69,1.39,1
08,27.93,31.87,4.64,0.07,0.13,0.34,0.36,1
08,26.4,31.226,5.09,0.17,0.14,0.36,1.43,1
08,26.69,30.93,5.07,0.17,0.14,0.48,2.93,1
08,26.34,30.63,5.3,0.31,0.06,0.4,1.49,1
08,28.71,30.66,4.46,0.21,0.22,0.22,0.47,1
08,23.76,33.32,4.75,0.32,0.18,10.45,0.02,1
08,24.27,33.01,4.86,0.33,0.03,10.05,0.41,1
08,25.72,33.94,4.49,0.11,0.08,12.25,0.22,1
08,25.72,33.94,4.49,0.11,0.08,12.25,0.22,1
08,25.53,33.68,4.68,0.05,0.16,9.38,0.14,1
08,24.5,32.63,4.77,0.1,0.01,10.05,0.33,1
08,25.97,33.93,4.43,0.44,0.11,10.7,1.21,1
08,25.7,32.47,4.82,0.39,0.08,10.17,0.29,1
08,24.96,32.05,5.16,0.05,0.08,0.15,4.14,1
08,26.35,31.97,4.42,0.11,0.11,0.23,7.91,1
08,26.33,32.03,4.49,0.04,0.1,8.2,0.16,1
08,25.55,32.6,4.68,0.2,0.05,5.96,0.51,1
08,28.31,32.88,4.27,0.46,0.12,5.99,0.05,1
08,25.7,33.01,4.64,0.25,0.04,5.54,0.34,1
08,26.02,33.48,4.36,0.19,0.1,7.54,0.24,1
08,27.14,33.22,4.4,0.06,0.01,0.44,8.87,1
08,27.72,32.84,4.43,0.05,0.03,0.46,1.86,1
08,27.93,33.37,4.48,0.28,0.09,5.25,0.77,1
08,27.87,33.09,4.41,0.32,0.04,5.4,0.11,1
08,26.2,32.56,4.44,0.28,0.17,6.39,0.18,1
08,25.67,32.39,4.58,0.36,0.04,4.32,0.22,1
08,26.5,31.76,4.58,0.28,0.08,0.48,4.85,1
08,26.82,31.54,4.58,0.31,0.09,0.31,5.11,1
08,26.71,32.54,4.41,0.26,0.07,5.26,0.27,1
08,27.15,32.62,4.2,0.23,0.05,4.38,0.17,1
08,27.73,32.86,4.55,0.38,0.13,7.02,0.2,1
08,28.01,33.13,4.3,0.32,0.05,7.5,0.35,1
10,20.86,33.23,3.81,0.08,0.58,3.59,10.92,1
10,22.0,33.68,4.17,0.06,0.55,11.63,3.24,1
10,21.96,33.64,4.49,0.43,0.71,8.27,3.19,1
08,24.96,33.671,4.9,0.06,0.07,3.48,4.47,1
08,25.33,32.993,4.81,0.03,0.22,6.67,4.23,1
08,24.42,32.114000000000004,5.3,0.12,0.24,7.95,9.69,1
08,23.85,32.244,5.31,0.11,0.29,6.2,6.89,1
08,24.44,31.675,5.26,0.01,0.07,3.22,8.54,1
08,24.49,32.568000000000005,5.1,0.03,0.09,3.29,6.95,1
08,26.28,33.361999999999995,4.78,0.1,0.26,3.66,4.03,1
08,25.38,32.67,5.26,0.05,0.1,4.2,5.28,1
08,28.18,34.376,4.72,0.2,0.13,3.16,4.67,1
08,26.82,33.287,4.9,0.03,0.13,2.49,4.41,1
08,27.5,32.268,5.21,0.12,0.1,4.41,5.64,1
08,28.14,30.747,4.58,0.04,0.08,3.78,8.05,1
08,24.78,30.500999999999998,4.94,0.07,0.35,2.12,6.73,1
08,20.58,31.482,5.04,0.39,0.66,5.17,5.06,1
08,21.36,31.488000000000003,4.6,0.14,0.2,6.22,7.19,1
08,23.98,31.618000000000002,5.03,0.24,0.06,1.17,5.12,1
08,25.37,31.625999999999998,4.72,0.28,0.1,0.2,3.64,1
08,24.59,31.745,4.77,0.28,0.11,1.46,2.81,1
08,25.1,31.523000000000003,4.77,0.39,0.16,0.12,5.23,1
08,25.81,31.783,4.67,0.32,0.17,0.44,1.45,1
08,25.7,31.799,4.84,0.39,0.05,0.25,3.0,1
08,24.56,31.498,4.89,0.37,0.05,0.62,6.06,1
08,24.35,31.31900000000001,4.55,0.57,0.56,1.83,9.04,1
08,26.89,29.76,5.22,0.22,0.64,3.29,3.91,1
08,26.99,26.92,5.9,0.7,0.81,2.24,3.6,1
08,26.6,27.26,5.62,0.61,0.18,2.1,2.18,1
08,26.87,28.33,5.86,0.53,0.81,0.13,19.65,1
08,27.08,28.38,5.45,0.25,0.8,1.32,1.85,1
08,27.56,29.11,5.02,0.24,0.11,2.96,2.2,1
08,26.94,31.68,5.02,0.09,0.07,1.37,2.42,1
08,27.57,32.27,5.55,0.08,0.18,1.24,2.84,1
08,27.14,32.28,4.49,0.06,0.17,12.24,6.07,1
08,27.13,32.22,4.87,0.07,0.11,0.34,6.78,1
08,22.56,31.93,4.13,0.49,0.43,3.15,3.31,1
08,22.76,32.19,4.12,0.26,0.1,3.48,5.91,1
08,22.27,31.9,4.07,0.27,0.36,3.66,5.55,1
08,27.05,26.116999999999997,5.04,0.21,0.14,8.07,8.07,1
08,24.75,30.785,5.08,0.16,0.16,0.9,3.88,1
08,26.89,26.491999999999997,4.93,0.11,0.18,4.91,7.95,1
08,22.78,32.42,5.55,0.22,0.25,0.75,6.23,1
08,25.91,30.189,4.88,0.13,0.22,2.66,7.83,1
08,22.22,32.491,5.57,0.16,0.18,2.7,5.44,1
08,25.49,30.865,5.06,0.18,0.12,2.49,10.16,1
08,20.25,32.219,5.47,0.15,0.14,3.45,11.56,1
08,20.94,32.217,5.53,0.26,5.49,5.24,10.33,1
08,20.25,32.219,5.47,0.15,0.14,3.45,11.56,1
08,23.92,33.141,4.02,0.29,0.14,3.22,3.59,1
08,24.18,30.708000000000002,5.45,0.41,0.28,5.22,13.65,1
08,24.25,31.009,5.53,0.3,0.31,5.04,17.13,1
08,24.08,32.486999999999995,4.39,0.41,0.26,4.26,4.77,1
08,25.46,30.994,4.37,0.4,0.24,2.57,4.43,1
08,22.11,32.086,4.11,0.34,0.33,4.62,4.43,1
08,23.54,32.766999999999996,4.0,0.31,0.11,2.54,4.34,1
08,23.48,32.393,4.4,0.25,0.3,2.11,4.4,1
08,24.3,31.713,3.81,0.18,0.32,2.8,4.67,1
08,24.65,31.143,4.31,0.46,0.2,2.66,5.63,1
08,24.56,32.839,3.83,0.41,0.21,2.66,5.22,1
08,25.71,31.511,4.2,0.44,0.35,3.38,5.24,1
08,24.44,31.006,3.89,0.5,0.23,,5.77,1
08,28.32,31.51,4.67,0.1,0.1,1.31,2.45,1
08,22.74,33.312,5.34,0.08,0.14,4.72,9.6,1
08,19.94,30.511,5.7,0.18,0.77,6.49,7.32,1
08,26.58,30.755,5.64,0.15,0.03,1.72,4.2,1
08,27.83,32.981,6.42,0.09,0.24,2.64,5.4,1
08,27.02,31.189,5.05,0.09,0.07,1.56,2.67,1
08,28.01,32.132,5.01,0.02,0.23,4.27,6.44,1
08,28.32,31.51,4.67,0.1,0.1,1.31,2.45,1
08,27.22,33.905,5.42,0.07,0.21,2.38,7.41,1
08,25.38,32.641,5.27,0.02,0.28,6.79,10.08,1
08,28.2,33.989000000000004,4.63,0.04,0.19,4.93,6.8,1
08,29.54,32.775999999999996,4.7,0.07,0.32,5.99,3.46,1
08,28.19,31.699,4.75,0.15,0.15,2.35,3.26,1
08,28.17,31.773000000000003,4.65,0.1,0.01,0.72,3.14,1
08,29.21,33.038000000000004,4.68,0.05,0.15,3.01,2.85,1
08,26.36,30.846,5.2,0.61,0.04,1.02,3.18,1
08,28.68,32.865,4.89,0.06,0.1,6.09,6.77,1
08,26.68,31.299,4.76,0.15,0.06,0.92,2.34,1
08,23.68,30.648000000000003,5.55,0.17,0.02,1.18,6.75,1
08,29.79,30.311999999999998,4.69,0.05,0.27,8.5,6.59,1
08,29.95,26.086,5.02,0.03,0.52,9.65,2.78,1
08,29.26,29.72300000000001,4.99,0.04,0.31,3.74,1.2,1
08,28.96,29.462,4.85,0.07,0.34,4.92,3.43,1
08,25.06,33.396,4.68,0.06,0.07,4.21,5.46,1
08,24.03,33.251,4.72,0.18,0.14,3.43,4.64,1
08,29.85,31.561,4.46,0.6,0.08,1.2,4.33,1
08,25.95,33.986,4.68,0.09,0.36,4.64,7.39,1
08,26.96,33.824,4.24,0.24,0.07,4.21,1.82,1
08,25.7,33.369,4.13,0.09,0.07,4.21,1.46,1
08,30.1,31.878,4.45,0.1,0.16,1.82,4.58,1
08,29.55,31.72,4.42,0.22,0.13,1.58,5.11,1
08,25.6,33.138000000000005,4.48,0.1,0.07,3.5,2.04,1
08,21.6,33.325,4.01,0.23,0.07,3.5,2.43,1
08,28.61,29.864,4.85,0.31,0.21,5.4,8.0,1
08,27.36,30.698,5.62,0.45,0.21,8.83,10.1,1
08,27.7,31.755,4.84,0.29,0.06,1.16,2.59,1
08,28.03,32.346,4.93,0.4,0.06,1.58,3.99,1
08,28.08,32.435,4.65,0.87,0.17,2.04,4.17,1
08,27.09,32.539,5.43,0.36,0.09,1.1,4.23,1
08,19.2,33.469,5.04,0.41,0.21,2.78,6.15,1
08,28.76,29.388,5.26,0.08,0.09,4.96,8.31,1
08,28.88,29.956999999999997,5.2,0.14,0.14,7.45,1.61,1
08,28.83,28.281,5.34,0.11,0.25,6.18,2.18,1
08,29.34,25.175,5.4,0.09,0.05,10.01,2.84,1
08,28.35,31.999000000000002,5.88,0.13,0.13,0.35,1.09,1
08,28.61,31.546999999999997,5.07,0.14,0.06,0.89,1.01,1
08,28.29,31.82800000000001,5.14,0.11,,0.81,1.18,1
08,25.45,30.294,7.23,0.18,0.02,7.43,3.25,1
08,24.46,30.296999999999997,7.01,0.18,,0.22,6.02,1
08,31.14,30.761999999999997,4.83,0.44,0.02,5.4,2.04,1
08,28.76,28.807,5.44,0.14,0.09,3.71,2.17,1
08,24.52,30.921,5.41,0.11,0.09,9.39,4.62,1
08,28.66,29.791999999999998,5.51,0.18,0.16,6.74,2.64,1
08,29.79,32.813,8.1523,0.133,0.0134,5.5099,3.5724,1
08,29.18,31.996,4.8934,0.2498,0.0314,1.2465,6.4937,1
08,28.55,30.954,5.6859,0.0319,0.0041,0.7231,9.54,1
08,28.71,31.026999999999997,5.6006,0.0775,0.0122,0.1159,5.3891,1
08,29.33,30.865,5.9683,0.0571,0.1036,3.2049,3.4389,1
08,29.3,25.416999999999998,5.742000000000001,0.2181,0.2455,9.8885,4.2856,1
08,29.68,25.864,5.7708,0.1402,,,4.3871,1
08,29.62,27.213,5.6854,0.049,0.1604,8.7441,4.7359,1
08,29.64,27.497,5.6022,0.1024,0.2376,7.8772,4.4295,1
08,28.03,24.248,6.478,0.2497,,,5.6796,1
08,28.06,28.93,6.1132,0.1115,0.1675,1.8282,4.0262,1
08,28.99,27.19400000000001,6.0531,0.0484,0.3397,5.8911,1.8512,1
08,28.93,28.54,5.7137,0.1484,0.1142,1.9342,1.7154,1
08,28.34,31.015,5.1197,0.1172,0.0313,0.0527,3.8039,1
08,28.72,30.951999999999998,5.4591,0.0652,0.0241,0.0024,3.4636,1
08,28.81,31.021,5.0372,0.0578,0.0205,0.4104,5.8151,1
08,28.66,31.50800000000001,4.8108,0.0378,0.006999999999999999,0.0527,8.6593,1
08,28.71,31.706,5.8269,0.1103,0.0475,0.457,5.8729999999999976,1
08,28.95,32.845,4.356,0.0554,0.0106,0.2789,3.8156,1
08,29.5,32.965,3.6771,0.0947,0.0476,,1.2644,1
08,24.19,32.18,6.71,0.07200000000000001,0.029,12.53,8.312000000000001,1
08,29.18,33.567,5.1486,0.1033,0.0307,0.1421,2.4805,1
08,25.14,31.88,5.19,0.054000000000000006,0.069,4.181,5.202000000000001,1
08,29.18,33.567,5.0914,0.1016,0.0229,0.8349,3.6094,1
08,28.82,31.635,5.0349,0.1302,0.0259,0.353,8.9253,1
08,26.16,31.73,4.89,0.048,0.252,4.0969999999999995,6.881,1
08,28.82,31.146,4.9783,0.2587,0.0224,1.111,9.6794,1
08,28.82,30.994,5.632999999999999,0.1588,0.0164,1.0769,7.865,1
08,24.55,32.58,5.54,0.131,0.008,14.315,6.428,1
08,28.36,30.983,5.3177,0.1706,0.0288,1.3913,8.326,1
08,28.7,31.136,5.4617,0.0569,0.0174,0.1835,2.5509,1
08,23.29,32.46,5.94,1.4569999999999999,0.006999999999999999,3.1310000000000002,9.356,1
08,25.9097,32.3977,4.8315,0.1502,0.1192,3.6088,7.3885,1
08,27.88,31.04,4.78,0.264,0.006999999999999999,2.87,7.885,1
08,27.28,31.4,4.86,0.14300000000000002,0.024,2.866,6.202000000000001,1
08,25.7076,32.4258,5.5786,0.2678,0.0702,2.6867,5.9535,1
08,23.4525,32.8517,6.056,0.2042,0.1185,2.6809,3.3238,1
08,24.42,31.396,5.2838,0.1278,0.1478,1.9680000000000002,2.2523,1
08,26.9078,33.29,4.5792,0.1668,0.0704,2.4805,4.3923,1
08,23.58,31.576999999999998,5.6684,0.0173,0.1533,3.0833,3.4331,1
08,23.8727,33.0112,5.2231,0.1029,0.0558,2.7964,4.6928,1
08,26.93,31.51,4.68,0.091,0.033,3.784,4.051,1
08,24.52,31.494,5.1557,0.0676,0.0814,0.4165,2.7008,1
08,19.9601,33.3567,5.7489,0.1297,0.0391,2.1357,4.1399,1
08,28.4,30.1,4.36,0.17800000000000002,0.048,3.091,6.278,1
08,17.9156,33.8861,6.8006,0.0756,0.0343,2.3887,0.9018,1
08,25.19,32.074,5.2838,0.08199999999999999,0.0739,1.5867,5.3603,1
08,25.77,30.256999999999998,6.8077,0.0593,0.1901,2.378,8.7921,1
08,29.46,30.75,4.38,0.65,0.01,4.603,4.6419999999999995,1
08,29.14,29.25,4.46,0.098,0.03,7.122000000000001,4.798,1
08,18.2135,34.0,5.9915,0.1722,0.2279,2.6961,6.4394,1
08,28.65,28.92,4.36,1.8159999999999998,0.018000000000000002,5.978,4.686,1
08,25.1049,33.4724,4.7309,0.1103,0.2661,2.5976,2.9142,1
08,23.6782,33.7595,3.9742,0.0295,0.0213,0.3963,2.8479,1
08,25.0781,33.7879,3.7801,0.1977,0.0334,0.8921,2.9302,1
08,24.9594,33.5223,3.1510000000000002,0.092,0.0358,0.2845,2.56,1
08,25.158,33.5493,3.7958,0.0343,0.048,0.4036,2.9795,1
08,29.454,31.855999999999998,4.84,6.2158,0.023,3.037,11.0563,1
08,24.1482,33.1053,3.7285,0.0775,0.031,0.3744,4.164,1
08,27.368000000000002,31.465,5.06,5.5306,0.013,2.952,9.5175,1
08,24.143,32.664,5.77,3.9699,0.014,3.645,9.1568,1
08,23.908,32.193000000000005,5.42,3.7798,0.025,5.167000000000002,10.5822,1
08,26.808000000000003,31.63300000000001,5.01,2.07,0.016,6.8839999999999995,9.638,1
08,27.143,30.875999999999998,5.89,2.8818,0.023,2.432,8.9706,1
08,26.1847,33.6054,3.7028,0.092,0.0431,0.1727,2.9631,1
08,26.4879,33.9394,3.7804,0.0968,0.0136,0.2338,1.8855,1
08,29.58,30.85,4.72,0.897,0.04,2.311,5.682,1
08,27.8484,31.8604,3.7063,0.1064,0.0383,0.5178,5.0853,1
08,30.930999999999997,29.465,5.32,0.5587,0.062,3.6439999999999997,7.3365,1
08,27.6971,32.2896,3.6363,0.1352,0.0431,0.4036,6.8045,1
08,29.97300000000001,28.476999999999997,4.78,0.8396,0.135,2.353,3.0005,1
08,29.639,28.767,5.72,2.1923,0.118,8.235,12.460999999999999,1
08,29.122,29.326999999999998,6.68,1.6959,0.12,2.215,14.5304,1
08,26.3595,33.8077,3.6408,0.1112,0.0112,0.3286,2.05,1
08,29.408,29.252,5.18,0.8869,0.145,2.76,8.3366,1
08,29.623,29.051,5.46,0.5839,0.093,3.489,1.1192,1
08,26.961,33.5597,3.5897,0.1737,0.0257,0.3652,7.2405,1
08,28.933000000000003,29.401,5.61,0.5815,0.1,13.993,1.7844,1
08,29.05,29.799,5.4,0.6675,0.096,7.48,1.6392,1
08,25.8911,32.2016,4.625,0.116,0.0377,0.3604,2.5765,1
08,29.215,29.489,5.51,0.4557,0.047,2.674,3.0977,1
08,18.7501,33.2513,4.6006,0.0968,0.0184,0.2339,2.157,1
08,28.851,28.993000000000002,5.14,1.3954,0.078,1.849,4.4122,1
08,27.559,30.489,4.97,1.2102,0.0045,3.201,5.0168,1
08,26.875999999999998,31.143,5.1996,0.4362,0.1086,4.4242,7.8815,1
08,27.715,30.734,4.9108,0.5452,,,5.0008,1
08,21.121,32.174,6.0094,0.4703,0.0924,0.9758,7.3383,1
08,29.83,30.95,4.7622,0.1394,0.0027,1.0173,5.2253,1
08,23.45,31.776999999999997,5.5832,0.2612,0.0616,1.0609,9.3192,1
08,28.761999999999997,29.211,5.1144,0.4095,0.2568,2.2253,2.013,1
08,29.32,32.81,4.7509,0.2062,0.1762,1.4937,3.9375,1
08,29.6,32.77,4.6823,0.1728,0.2105,2.3835,5.0481,1
08,29.38,30.57,4.7623,0.1632,0.2307,2.0836,5.7806,1
08,29.51,29.89,4.8437,0.2014,0.3134,1.4383,7.9546,1
08,29.48,30.67,4.525,0.2635,0.2569,1.9525,6.7258,1
08,29.64,28.85,4.8764,0.2014,0.2408,4.9824,7.0329999999999995,1
08,29.63,28.46,4.8437,0.1967,0.2307,3.0792,9.1715,1
08,29.56,28.74,4.878,0.1776,0.0188,4.3824,10.2467,1
08,21.738000000000003,32.149,5.6827,0.2021,0.0152,0.736,8.5244,1
08,29.49,29.06,4.9107,0.2301,0.0188,1.8744,8.3445,1
08,29.55,30.07,4.7244,0.168,0.0208,0.8686,7.7065,1
08,29.34,31.16,4.82,0.0821,,2.4138,9.4196,1
08,29.38,31.5,4.8651,0.0773,,1.5643,7.5765,1
08,21.738000000000003,32.149,5.6827,0.2021,0.0152,0.736,8.5244,1
08,29.05,29.19,5.0711,0.1919,,2.8045,10.0695,1
08,27.046999999999997,31.549,4.9297,0.1299,0.0706,1.1036,6.1359,1
08,28.73,29.09,5.0254,0.1585,,0.9745,5.4144,1
08,27.331999999999997,31.026,4.8303,0.1212,0.0634,0.76,6.9632,1
08,29.94,29.49,4.7701,0.1919,,1.1307,7.6474,1
08,27.14,29.84,4.9112,0.1585,,1.3979,5.5916,1
08,28.44,30.48,4.888,0.2396,,1.2467,7.0921,1
08,28.16,30.23,4.9336,0.1967,,1.4080000000000001,7.9309,1
08,28.18,30.36,5.5406,0.3017,,1.2769,5.6388,1
08,27.15,30.42,5.2037,0.3972,0.0208,2.9356,8.7226,1
08,22.699,32.138000000000005,5.1428,0.6602,0.481,4.5902,10.7795,1
08,27.83,30.22,4.7815,0.0677,0.0168,2.0079,4.9299,1
08,28.65,29.15,4.6938,0.1489,0.0249,1.9147,2.8978,1
08,25.046,32.036,5.3417,0.1007,0.0681,0.6745,4.3772,1
08,28.66,29.09,4.7181,0.2683,,3.4775,6.2296,1
08,29.07,29.35,4.9571,0.1394,,2.5801,5.9697,1
08,26.34800000000001,31.954,5.3559,0.1186,0.0814,0.3039,3.5627,1
08,28.8,30.14,4.7737,0.1107,0.0047,1.9071,8.0373,1
08,25.877,31.930999999999997,5.228,0.1147,0.0746,1.3929,1.889,1
08,29.22,29.05,4.648,0.0582,0.037000000000000005,3.1473,6.0524,1
08,25.866999999999997,31.955,5.157,0.151,0.0264,1.0289,2.1918,1
08,29.08,31.63,4.7966,0.0868,0.0128,3.9564,5.5089,1
08,29.25,30.43,4.1137,0.1346,,1.466,6.3714,1
08,25.730999999999998,31.861,5.3275,0.2101,0.0499,2.2248,3.8187,1
08,25.503,31.985,5.4696,0.0687,0.0861,0.8527,5.6243,1
08,24.734,32.013000000000005,5.7253,0.1672,0.017,1.1283,3.3585,1
08,24.581999999999997,31.121,6.2083,0.2221,0.0516,1.5547,3.6573,1
08,24.462,31.362,5.4411,0.2915,0.0586,0.9225,4.4671,1
08,23.205,31.936999999999998,5.8389,0.3627,0.0674,1.0406,4.2219,1
08,24.06,32.071999999999996,5.2991,0.0637,0.1329,1.2576,4.1975,1
08,24.054000000000002,31.844,5.2565,0.1227,0.0403,1.023,2.3817,1
08,24.561,31.523000000000003,5.1996,0.16,0.098,1.1409,1.4832,1
08,23.749000000000002,31.682,5.2138,0.3775,0.0978,2.6183,2.3193,1
10,19.021,31.971999999999998,5.7117,0.1582,0.0183,0.8407,4.9808,1
10,18.928,32.083,5.6404,0.1779,0.0393,0.4304,4.4857,1
10,17.865,32.208,6.3954,0.294,0.0776,0.5916,7.7896,1
10,18.602999999999998,32.33,5.5265,0.6053,1.8543,3.3703,12.7545,1
10,19.08,31.980999999999998,5.4695,0.1181,0.0492,0.6467,2.6938,1
10,19.012,32.027,5.3271,0.1218,0.0374,0.4174,3.7492,1
10,18.53,32.205999999999996,5.6689,0.2852,0.2358,1.4133,6.9586,1
10,19.037,31.899,5.3556,0.8334,0.1952,8.264,13.3707,1
10,20.9446,32.946999999999996,5.1486,0.129,0.0714,2.0714,1.0714,1
10,20.9471,32.9863,5.1471,0.129,0.0714,2.0714,1.3571,1
10,20.8284,33.0507,5.1563,0.129,0.0714,2.4286,2.0714,1
10,20.2973,33.0118,5.2077,0.129,0.0714,2.5714,2.0,1
10,20.2567,32.9986,5.2115,0.129,0.0714,2.1429,2.8571,1
10,21.4656,33.4287,5.086,0.129,0.0714,2.7857,1.0,1
10,21.28,33.1142,5.1144,0.1613,0.1429,2.2857,2.5714,1
10,21.4506,33.1087,5.0968,0.1613,0.1429,3.6429,3.0357,1
12,17.5671,34.3012,5.3564,0.2839,0.7714,5.0571,7.3143,1
